epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.40525028109550476,0.7522363066673279,0.0010000000474974513,0.5885204076766968,0.8992568254470825,0.5158081650733948,0.8639112710952759,0.9457444548606873,0.45650988817214966,0.9301204681396484,0.7845528721809387
1,0.46875,0.8743961453437805,0.0010000000474974513,0.5789611339569092,1.0,0.6521739363670349,0.8659273982048035,0.9437209963798523,0.4462434947490692,0.9304556250572205,0.7886179089546204
2,0.45800623297691345,0.7999439239501953,0.0010000000474974513,0.4922027587890625,0.9324424862861633,0.5981664657592773,0.8059476017951965,0.9692769050598145,0.4735851585865021,0.979200005531311,0.6219512224197388
3,0.4375,0.8008657693862915,0.0010000000474974513,0.5075260400772095,0.7647058963775635,0.6190476417541504,0.8049395084381104,0.9689913988113403,0.47455716133117676,0.9791332483291626,0.619918704032898
4,0.45885035395622253,0.8186126351356506,0.0010000000474974513,0.46855464577674866,0.9421849250793457,0.6123029589653015,0.7696572542190552,0.9722062945365906,0.536361038684845,0.9870610237121582,0.542682945728302
5,0.53125,0.8036437034606934,0.0010000000474974513,0.3682825565338135,0.9285714030265808,0.6842105388641357,0.7620967626571655,0.9714273810386658,0.5582306981086731,0.9866920113563538,0.5274389982223511
6,0.4690639078617096,0.8185645341873169,0.0010000000474974513,0.4449611306190491,0.945408046245575,0.6162818670272827,0.875,0.978857159614563,0.40389540791511536,0.971794843673706,0.7703251838684082
7,0.59375,0.9295454621315002,0.0010000000474974513,0.4155924916267395,1.0,0.6818181872367859,0.8704637289047241,0.9786545038223267,0.409657746553421,0.9714656472206116,0.7611788511276245
8,0.4613826274871826,0.8197021484375,0.0010000000474974513,0.4421966075897217,0.948523998260498,0.6072525382041931,0.9178427457809448,0.9744039177894592,0.35479846596717834,0.9381003379821777,0.8932926654815674
9,0.5625,0.885185182094574,0.0010000000474974513,0.3265911936759949,1.0,0.6296296119689941,0.9193548560142517,0.9735584259033203,0.35509753227233887,0.9392324090003967,0.8953251838684082
10,0.4678821563720703,0.8227779865264893,0.0010000000474974513,0.43728068470954895,0.945642352104187,0.6195394396781921,0.9248992204666138,0.9699822068214417,0.3447238504886627,0.9170829057693481,0.9329268336296082
11,0.40625,0.7813853025436401,0.0010000000474974513,0.48068657517433167,0.7692307829856873,0.4761904776096344,0.9269153475761414,0.970430850982666,0.343099981546402,0.920762300491333,0.9329268336296082
12,0.470752090215683,0.8307352662086487,0.0005000000237487257,0.4166013300418854,0.9568949937820435,0.6194135546684265,0.9319556355476379,0.9792219996452332,0.32752129435539246,0.9389865398406982,0.922764241695404
13,0.5625,0.9048583507537842,0.0005000000237487257,0.36322465538978577,1.0,0.6842105388641357,0.9314516186714172,0.979509174823761,0.3262883424758911,0.9389234185218811,0.9217479825019836
14,0.47843337059020996,0.8352597951889038,0.0005000000237487257,0.4083321690559387,0.9567489624023438,0.6306723952293396,0.9279233813285828,0.9819959402084351,0.32943081855773926,0.9555796384811401,0.8963414430618286
15,0.375,0.868571400642395,0.0005000000237487257,0.603251576423645,0.9285714030265808,0.5199999809265137,0.9294354915618896,0.9816473722457886,0.32841235399246216,0.9508547186851501,0.9044715166091919
16,0.4834135174751282,0.836635172367096,0.0005000000237487257,0.40212056040763855,0.9629696011543274,0.6394630670547485,0.9254032373428345,0.9811919927597046,0.3318890333175659,0.943736732006073,0.9034552574157715
17,0.46875,0.8311688303947449,0.0005000000237487257,0.397311270236969,0.9285714030265808,0.6190476417541504,0.9254032373428345,0.9808933734893799,0.3319225311279297,0.943736732006073,0.9034552574157715
18,0.47463491559028625,0.8351830840110779,0.0005000000237487257,0.40582725405693054,0.961908221244812,0.6266840100288391,0.9329637289047241,0.9816859364509583,0.3236728608608246,0.9590075612068176,0.9034552574157715
19,0.5,0.7530364394187927,0.0005000000237487257,0.29764461517333984,1.0,0.31578946113586426,0.9299395084381104,0.9815004467964172,0.32507067918777466,0.9597388505935669,0.8963414430618286
20,0.4885624945163727,0.8409563302993774,0.0002500000118743628,0.38508662581443787,0.969129204750061,0.6453184485435486,0.9112903475761414,0.9820756316184998,0.3378869295120239,0.954954981803894,0.8617886304855347
21,0.46875,0.9227052330970764,0.0002500000118743628,0.359928160905838,1.0,0.739130437374115,0.9117943644523621,0.9821082949638367,0.33773571252822876,0.9560315608978271,0.8617886304855347
22,0.48442643880844116,0.8390169739723206,0.0002500000118743628,0.3833872377872467,0.9648522138595581,0.6348434686660767,0.9228830933570862,0.9796016812324524,0.32592451572418213,0.9396825432777405,0.9024389982223511
23,0.4375,0.8181817531585693,0.0002500000118743628,0.351880818605423,1.0,0.6363636255264282,0.9233871102333069,0.9796234369277954,0.3258705139160156,0.9397463202476501,0.9034552574157715
24,0.4873807728290558,0.8446370363235474,0.0002500000118743628,0.3781818747520447,0.975530207157135,0.6373001933097839,0.9193548560142517,0.9827937483787537,0.3304649293422699,0.9577777981758118,0.8760162591934204
25,0.5625,0.8719806671142578,0.0002500000118743628,0.29168400168418884,1.0,0.695652186870575,0.9198588728904724,0.9826041460037231,0.3319346606731415,0.9588431715965271,0.8760162591934204
26,0.49160125851631165,0.8381111025810242,0.0002500000118743628,0.3712459206581116,0.9752339124679565,0.6306797862052917,0.9299395084381104,0.9808688759803772,0.31791672110557556,0.9433368444442749,0.9136179089546204
27,0.40625,0.9481481313705444,0.0002500000118743628,0.4083836078643799,1.0,0.7407407164573669,0.9329637289047241,0.9810579419136047,0.31701192259788513,0.9436913728713989,0.9197154641151428
