epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.43124842643737793,0.789492666721344,0.0010000000474974513,0.5421658158302307,0.9209039807319641,0.5930055379867554,0.8654233813285828,0.9388476014137268,0.46451452374458313,0.8256130814552307,0.9237805008888245
1,0.375,0.670040488243103,0.0010000000474974513,0.5951957106590271,0.75,0.6315789222717285,0.8603830933570862,0.936296820640564,0.4675099849700928,0.8187556266784668,0.922764241695404
2,0.4562336504459381,0.8059090375900269,0.0010000000474974513,0.4954206943511963,0.937903106212616,0.6029376983642578,0.9077621102333069,0.9710401296615601,0.39461666345596313,0.9435216188430786,0.8658536672592163
3,0.59375,0.8290043473243713,0.0010000000474974513,0.3981248438358307,1.0,0.6666666865348816,0.9072580933570862,0.9707033038139343,0.3968179225921631,0.9454342722892761,0.8628048896789551
4,0.46036970615386963,0.8136889934539795,0.0010000000474974513,0.47052499651908875,0.9467258453369141,0.6050360798835754,0.9254032373428345,0.9753053784370422,0.3632795214653015,0.9171656966209412,0.9339430928230286
5,0.46875,0.7435897588729858,0.0010000000474974513,0.4999810457229614,0.9375,0.5769230723381042,0.9279233813285828,0.9755904078483582,0.36098939180374146,0.919242262840271,0.9369918704032898
6,0.4658563435077667,0.8180860877037048,0.0010000000474974513,0.4589619040489197,0.9435645341873169,0.6148279905319214,0.8729838728904724,0.9739435911178589,0.41869908571243286,0.9609571695327759,0.7754064798355103
7,0.28125,0.9358974099159241,0.0010000000474974513,0.5358041524887085,1.0,0.4615384638309479,0.8810483813285828,0.9742418527603149,0.4121401906013489,0.9617283940315247,0.7916666865348816
8,0.4659407436847687,0.8222038149833679,0.0010000000474974513,0.443050354719162,0.9542531967163086,0.6136578321456909,0.8896169066429138,0.9717988967895508,0.4012971520423889,0.9569892287254333,0.8140243887901306
9,0.71875,0.9230769276618958,0.0010000000474974513,0.34516483545303345,0.9411764740943909,0.8421052694320679,0.8870967626571655,0.9719135165214539,0.4011213779449463,0.9578313231468201,0.8079268336296082
10,0.4770828187465668,0.825263500213623,0.0010000000474974513,0.43587327003479004,0.9508816003799438,0.628792405128479,0.9223790168762207,0.9779516458511353,0.3372361660003662,0.9013539552688599,0.9471544623374939
11,0.46875,0.8354166746139526,0.0010000000474974513,0.3945368230342865,1.0,0.550000011920929,0.9223790168762207,0.9783023595809937,0.33709076046943665,0.8982725739479065,0.9512194991111755
12,0.47260910272598267,0.8254580497741699,0.0010000000474974513,0.4278939664363861,0.9486228823661804,0.636460542678833,0.890625,0.9571794271469116,0.3817692995071411,0.8785784840583801,0.9044715166091919
13,0.6875,0.8647058606147766,0.0010000000474974513,0.33425453305244446,0.8666666746139526,0.7647058963775635,0.8881048560142517,0.956817626953125,0.3828352689743042,0.875,0.9034552574157715
14,0.4720182418823242,0.8243652582168579,0.0010000000474974513,0.4224663972854614,0.9532015323638916,0.6226303577423096,0.9138104915618896,0.9670965075492859,0.3601281940937042,0.9160696268081665,0.9095528721809387
15,0.4375,0.7948718070983887,0.0010000000474974513,0.41283151507377625,1.0,0.692307710647583,0.9143145084381104,0.9675036072731018,0.3593229055404663,0.9170082211494446,0.9095528721809387
16,0.4858613908290863,0.8261069059371948,0.0010000000474974513,0.41833725571632385,0.9560117125511169,0.6245958805084229,0.9203628897666931,0.9742514491081238,0.34051206707954407,0.9025341272354126,0.9410569071769714
17,0.46875,0.8407407402992249,0.0005000000237487257,0.4102143347263336,0.949999988079071,0.7037037014961243,0.9183467626571655,0.9741107225418091,0.3413444757461548,0.8990291357040405,0.9410569071769714
18,0.4735375940799713,0.8279862999916077,0.0005000000237487257,0.4020124673843384,0.9599341154098511,0.619700014591217,0.9163306355476379,0.9774537682533264,0.34799671173095703,0.9445652365684509,0.8831300735473633
19,0.40625,0.8199999928474426,0.0005000000237487257,0.4129534959793091,1.0,0.6000000238418579,0.9163306355476379,0.9773460626602173,0.3485679030418396,0.9436008930206299,0.8841463327407837
20,0.4802059531211853,0.8381881713867188,0.0005000000237487257,0.4013487994670868,0.9593238234519958,0.6467236280441284,0.9183467626571655,0.9731605052947998,0.3424886465072632,0.9335442781448364,0.8993902206420898
21,0.34375,0.7678571939468384,0.0005000000237487257,0.395794153213501,1.0,0.5357142686843872,0.9188507795333862,0.973181962966919,0.343301385641098,0.9317943453788757,0.9024389982223511
